date	order	month	day	year	avg_air_temp_F	max_air_temp_F	min_air_temp_F	total_precip_IN	leaf_wetness_hours	rh_hrs_at_least_90_percent	avg_wind_speed_mph	solar_rad_langleys	cumulative_precip
7_7_2014	7	7	7	2014	69.2	76.9	61	0.07	4	3	5.5	902	0.23
7_8_2014	8	7	8	2014	73.9	85.3	66	0.07	4	6	6.2	1169	0.3
7_9_2014	9	7	9	2014	65.5	74	58.9	0.26	6	8	4.1	1417	0.56
7_10_2014	10	7	10	2014	63.6	75.3	52	0	3	8	3	1448	0.56
7_11_2014	11	7	11	2014	66	79.6	50.9	0	0	9	1.6	932	0.56
7_12_2014	12	7	12	2014	71.1	84.8	58.9	0	0	7	2.3	1309	0.56
7_13_2014	13	7	13	2014	71.1	76.9	66	0.15	3	5	5.6	719	0.71
7_14_2014	14	7	14	2014	70.1	78.9	64	0.87	2	16	1.6	1232	1.58
7_15_2014	15	7	15	2014	69.6	78	64.9	0.13	10	10	4.3	1448	1.71
7_16_2014	16	7	16	2014	64.1	71	53.4	0	0	3	3.6	857	1.71
7_17_2014	17	7	17	2014	62.9	72.9	54.3	0	2	5	3.4	936	1.71
7_18_2014	18	7	18	2014	66.1	79.8	54.9	0	0	3	2	963	1.71
7_19_2014	19	7	19	2014	66	76.4	56.8	0.02	7	12	2.1	592	1.73
7_20_2014	20	7	20	2014	69.1	77.5	60.3	0.11	10	9	3.1	667	1.84
7_21_2014	21	7	21	2014	72.9	83.7	64	0	0	10	2.5	1038	1.84
7_22_2014	22	7	22	2014	75.6	87.4	62.8	0	4	10	1.8	1078	1.84
7_23_2014	23	7	23	2014	71.7	82.5	63.9	0.1	4	8	6.6	808	1.94
7_24_2014	24	7	24	2014	63.4	70.2	55	0	0	1	5.7	895	1.94
7_25_2014	25	7	25	2014	65	76.9	54	0	0	2	3.6	893	1.94
7_26_2014	26	7	26	2014	69.4	80.7	56.9	0	0	0	3.1	967	1.94
7_27_2014	27	7	27	2014	73.3	81.4	67	0.03	3	3	4.6	897	1.97
7_28_2014	28	7	28	2014	61.3	67.9	57.9	3.47	21	24	6.5	1503	5.44
7_29_2014	29	7	29	2014	59.8	67.7	53.9	0	0	12	3.8	829	5.44
7_30_2014	30	7	30	2014	60.6	71.3	53.9	0.15	9	15	3.2	1117	5.59
7_31_2014	31	7	31	2014	64.1	74.9	51.9	2.22	9	13	2.9	1743	7.81
8_1_2014	32	8	1	2014	69.1	80.9	57.9	0	0	7	3.8	1037	7.81
8_2_2014	33	8	2	2014	70	81	59.9	0.1	3	9	3	1051	7.91
8_3_2014	34	8	3	2014	66.1	76	61	0.89	17	17	1.7	1263	8.8
8_4_2014	35	8	4	2014	69.7	80.1	61	0.02	12	14	2.1	1931	8.82
8_5_2014	36	8	5	2014	67	77.1	59.9	0.07	10	17	1.9	1553	8.89
8_6_2014	37	8	6	2014	66.1	74.7	59.9	0	9	9	5	1521	8.89
8_7_2014	38	8	7	2014	65.5	74.3	58.8	0	0	3	5.6	573	8.89
8_8_2014	39	8	8	2014	65	76	55.9	0	0	8	4.2	133	8.89
8_9_2014	40	8	9	2014	66.4	80.9	54.2	0	0	10	2.4	135	8.89
8_10_2014	41	8	10	2014	67.8	81.6	55.3	0	0	10	1.8	155	8.89
8_11_2014	42	8	11	2014	70.1	82.3	58.2	0	0	7	4.7	122	8.89
8_12_2014	43	8	12	2014	66.8	71.7	61.9	0.24	0	15	11.1	41	9.13
8_13_2014	44	8	13	2014	65.3	71.8	54.9	0.08	6	11	6.4	106	9.21
8_14_2014	45	8	14	2014	58.2	65.5	53	0.04	3	3	4.9	94	9.25
8_15_2014	46	8	15	2014	60.1	69.2	52.9	0.01	4	0	5	101	9.26
8_16_2014	47	8	16	2014	61.8	70	53.9	0.14	4	3	4.4	77	9.4
8_17_2014	48	8	17	2014	63.6	70.9	56	0	4	11	4.6	113	9.4
8_18_2014	49	8	18	2014	61.9	71.8	50.6	0	0	11	3.1	117	9.4
8_19_2014	50	8	19	2014	63.6	78	48.9	0	7	13	2.8	128	9.4
8_20_2014	51	8	20	2014	67.3	74.6	61.9	0.15	17	18	2.7	45	9.55
8_21_2014	52	8	21	2014	69.4	79.3	63.1	0.51	16	17	2.4	97	10.06
8_22_2014	53	8	22	2014	68.8	77.8	62	0.17	4	15	2	90	10.23
8_23_2014	54	8	23	2014	66.6	70	60.8	0	5	12	3.7	54	10.23
8_24_2014	55	8	24	2014	66.6	77.9	56.9	0	7	13	1.7	140	10.23
8_25_2014	56	8	25	2014	68.9	81	57.1	0	6	8	2.7	138	10.23
8_26_2014	57	8	26	2014	71.1	82	57.1	0	0	5	4	133	10.23
8_27_2014	58	8	27	2014	69.1	76.6	58.9	0	0	7	4	84	10.23
8_28_2014	59	8	28	2014	60	66.6	54.9	0	0	7	5.5	93	10.23
8_29_2014	60	8	29	2014	62.1	72.2	51.9	0	0	6	3	130	10.23
8_30_2014	61	8	30	2014	68.8	81.4	56.6	0	0	5	7.3	119	10.23
8_31_2014	62	8	31	2014	71.3	76	65.9	0.51	7	11	5	49	10.74
9_1_2014	63	9	1	2014	73	82.8	63	0	0	11	3.7	121	10.74
9_2_2014	64	9	2	2014	71.6	81.3	64	0.26	9	16	3.3	63	11
9_3_2014	65	9	3	2014	68.9	78.2	61.9	0	0	11	3	129	11
9_4_2014	66	9	4	2014	70.2	83.3	59	0	0	8	2.5	100	11
9_5_2014	67	9	5	2014	75.9	88.1	64	0	1	8	4.4	126	11
9_6_2014	68	9	6	2014	65.3	70.7	57	0.06	12	9	3.9	28	11.06
9_7_2014	69	9	7	2014	60.4	72.3	50	0	0	6	4.1	121	11.06
9_8_2014	70	9	8	2014	61.7	75.9	46.2	0	5	8	3.9	123	11.06
9_9_2014	71	9	9	2014	64.3	74.7	54.9	0	0	5	6.3	105	11.06
9_10_2014	72	9	10	2014	66.8	74.9	58.9	0	0	7	7.6	82	11.06
9_11_2014	73	9	11	2014	64	70.3	54.9	0.07	2	5	8.6	39	11.13
9_12_2014	74	9	12	2014	51.6	58.9	43.1	0.01	6	10	4.2	61	11.14
9_13_2014	75	9	13	2014	49.8	65	40.9	0.26	4	18	3.9	44	11.4
9_14_2014	76	9	14	2014	51.9	61.5	42.2	0	0	9	2.8	103	11.4
9_15_2014	77	9	15	2014	57	67.9	48.9	0.04	5	4	2.7	96	11.44
9_16_2014	78	9	16	2014	55.5	63.4	47.8	0.18	8	11	3.4	78	11.62
9_17_2014	79	9	17	2014	55.4	66.7	46.8	0	0	11	3.4	90	11.62
9_18_2014	80	9	18	2014	51	59.9	42.4	0	3	12	4.2	48	11.62
9_19_2014	81	9	19	2014	48.3	60.9	34	0	0	10	2.3	115	11.62
9_20_2014	82	9	20	2014	64.1	75	51.1	0	0	7	7.9	84	11.62
9_21_2014	83	9	21	2014	65.2	77.5	59.5	0.03	2	2	6.7	46	11.65
9_22_2014	84	9	22	2014	50.5	58.4	43.1	0.01	9	8	7	56	11.66
9_23_2014	85	9	23	2014	55.8	70	42	0	0	8	3.2	105	11.66
9_24_2014	86	9	24	2014	59.3	72.6	47	0	0	12	2.9	104	11.66
9_25_2014	87	9	25	2014	57.7	68.1	48.9	0	0	14	1.8	77	11.66
9_26_2014	88	9	26	2014	60	74.5	48.3	0	12	14	2.3	100	11.66
9_27_2014	89	9	27	2014	63.1	78.6	51.2	0	2	12	2	101	11.66
9_28_2014	90	9	28	2014	63.4	78.8	50.2	0	10	13	1.3	94	11.66
9_29_2014	91	9	29	2014	64.6	77.8	53.8	0	1	11	1.3	94	11.66
9_30_2014	92	9	30	2014	62.1	78.9	50.9	0.01	8	15	2.2	87	11.67
7_1_2015	1	7	1	2015	65.5	70.9	62	0.35	10	14	5	409	0.35
7_2_2015	2	7	2	2015	63.1	70.9	51.9	0	0	10	4.1	512	0.35
7_3_2015	3	7	3	2015	63.9	74.8	51	0	0	6	3.9	610	0.35
7_4_2015	4	7	4	2015	66.3	76.4	59	0.05	2	12	4	497	0.4
7_5_2015	5	7	5	2015	68.1	81.9	53.9	0	0	10	2.3	600	0.4
7_6_2015	6	7	6	2015	71.3	81.4	59.9	0	0	10	4.6	524	0.4
7_7_2015	7	7	7	2015	74.8	86.6	67.9	0.44	5	14	4.9	514	0.84
7_8_2015	8	7	8	2015	63.3	69.3	57.9	0.02	11	14	4.4	399	0.86
7_9_2015	9	7	9	2015	61.3	66.4	56.9	1.02	13	22	3.7	132	1.88
7_10_2015	10	7	10	2015	67.1	77.9	58.9	0.01	2	10	4.8	630	1.89
7_11_2015	11	7	11	2015	70.4	80.3	60.9	0	0	6	3.7	629	1.89
7_12_2015	12	7	12	2015	70.9	83	58.9	0	0	10	1.4	507	1.89
7_13_2015	13	7	13	2015	73.7	83.9	62.4	0	0	7	3.9	626	1.89
7_14_2015	14	7	14	2015	69.4	77	65.9	0.36	9	14	4.7	261	2.25
7_15_2015	15	7	15	2015	59.4	67	53.9	0	10	13	6.6	385	2.25
7_16_2015	16	7	16	2015	62.1	73.8	50.9	0	0	10	3.1	626	2.25
7_17_2015	17	7	17	2015	65.3	73	53.9	0.05	4	15	4.5	262	2.3
7_18_2015	18	7	18	2015	76	85.2	67	0.26	5	12	5.1	363	2.56
7_19_2015	19	7	19	2015	78.6	86.9	67.9	0	0	6	3.6	458	2.56
7_20_2015	20	7	20	2015	75.2	82.4	67.6	0	0	4	2.9	586	2.56
7_21_2015	21	7	21	2015	69.3	75.5	62.7	0.13	2	1	4.5	380	2.69
7_22_2015	22	7	22	2015	66.7	74.2	60.9	0	0	0	5.7	573	2.69
7_23_2015	23	7	23	2015	66.1	75.8	57	0	0	1	4.2	540	2.69
7_24_2015	24	7	24	2015	68.6	79.7	55.6	0	0	2	3.5	611	2.69
7_25_2015	25	7	25	2015	67.8	77.5	55.9	0.06	3	10	4.1	299	2.75
7_26_2015	26	7	26	2015	72	84	63.9	0.22	7	14	2.8	449	2.97
7_27_2015	27	7	27	2015	74	87.9	61	0	8	12	0.6	590	2.97
7_28_2015	28	7	28	2015	75.3	88.5	61.9	0	0	9	2.1	604	2.97
7_29_2015	29	7	29	2015	77.5	88.9	64	0	0	5	3	547	2.97
7_30_2015	30	7	30	2015	75.5	81	69.9	0.3	4	4	4.9	459	3.27
7_31_2015	31	7	31	2015	73.6	82	64.9	0	0	0	4.6	575	3.27
8_1_2015	32	8	1	2015	69.6	76.8	62.3	0	0	1	4.1	511	3.27
8_2_2015	33	8	2	2015	72	82.7	58	0	0	3	4.2	570	3.27
8_3_2015	34	8	3	2015	72.4	78.6	63.6	0.01	4	2	5	401	3.28
8_4_2015	35	8	4	2015	67.2	74.4	60	0	3	11	3.4	392	3.28
8_5_2015	36	8	5	2015	66.1	72.7	59	0	0	6	4.9	502	3.28
8_6_2015	37	8	6	2015	64.8	75.7	55	0	0	9	3.4	482	3.28
8_7_2015	38	8	7	2015	63.8	75.3	52	0	4	10	3.2	511	3.28
8_8_2015	39	8	8	2015	62.9	72.2	52.1	0	6	10	3.6	340	3.28
8_9_2015	40	8	9	2015	67	82.3	54.1	0	9	11	2.6	542	3.28
8_10_2015	41	8	10	2015	69.6	79.5	60	0.31	5	13	6.2	360	3.59
8_11_2015	42	8	11	2015	69.1	76.1	65.4	0.34	11	14	5.6	343	3.93
8_12_2015	43	8	12	2015	65.4	71.6	60	0	5	8	5.3	387	3.93
8_13_2015	44	8	13	2015	66.1	76.4	54.6	0	0	2	3.1	555	3.93
8_14_2015	45	8	14	2015	71.8	82.8	61	0	2	11	3.2	394	3.93
8_15_2015	46	8	15	2015	72.6	82	66.8	0.02	5	14	1.7	420	3.95
8_16_2015	47	8	16	2015	74.9	87.2	62.4	0	6	12	1.2	517	3.95
8_17_2015	48	8	17	2015	75.8	88.1	63.2	0	0	11	1.9	498	3.95
8_18_2015	49	8	18	2015	72.4	87	64.9	0.63	9	16	2.7	340	4.58
8_19_2015	50	8	19	2015	75.5	84	67.9	0.03	9	9	6.2	394	4.61
8_20_2015	51	8	20	2015	72.2	79.2	63	0.9	8	8	7.8	201	5.51
8_21_2015	52	8	21	2015	64.7	72.9	57.5	0.01	0	12	3.3	434	5.52
8_22_2015	53	8	22	2015	64.2	74.8	55.9	0	0	13	3.3	389	5.52
8_23_2015	54	8	23	2015	65.8	77.6	54	0	7	8	2.6	489	5.52
8_24_2015	55	8	24	2015	66.5	76.1	60.5	0	0	8	3.2	277	5.52
8_25_2015	56	8	25	2015	63.3	70.5	56	0	0	7	2.2	266	5.52
8_26_2015	57	8	26	2015	62.3	70.3	56	0	0	6	2.4	229	5.52
8_27_2015	58	8	27	2015	60.7	67	55	0	0	8	3.5	268	5.52
8_28_2015	59	8	28	2015	62.4	75.1	52.2	0	1	13	2	392	5.52
8_29_2015	60	8	29	2015	64.7	76.8	52.9	0	14	13	2	341	5.52
8_30_2015	61	8	30	2015	69.7	80.3	63	0	9	15	1	285	5.52
8_31_2015	62	8	31	2015	71.7	81.7	63.7	0	12	13	2.9	366	5.52
9_1_2015	63	9	1	2015	71.3	84.7	61.1	0	12	15	1	318	5.52
9_2_2015	64	9	2	2015	73	85.3	62	0	15	14	1.7	351	5.52
9_3_2015	65	9	3	2015	74.1	85.4	65.8	0	12	14	2.3	383	5.52
9_4_2015	66	9	4	2015	70.3	83	62	0	13	14	1.8	338	5.52
9_5_2015	67	9	5	2015	73.8	84	63	0	8	10	5.5	401	5.52
9_6_2015	68	9	6	2015	74	85.9	63.9	0	13	13	3.3	409	5.52
9_7_2015	69	9	7	2015	77.5	88.6	65.9	0	8	8	2.5	396	5.52
9_8_2015	70	9	8	2015	77.8	89.9	67.1	0	0	4	1.8	366	5.52
9_9_2015	71	9	9	2015	72.8	85.3	63.9	0.15	3	7	4.5	260	5.67
9_10_2015	72	9	10	2015	64.7	72.7	56.2	0	0	12	2.7	225	5.67
9_11_2015	73	9	11	2015	64.4	76.7	56	0	0	12	3.5	398	5.67
9_12_2015	74	9	12	2015	59.3	60	57.9	0.89	19	24	2.9	47	6.56
9_13_2015	75	9	13	2015	55.2	60	51.9	0.11	14	17	6.7	103	6.67
9_14_2015	76	9	14	2015	59.8	70.1	51.9	0.04	2	3	6.3	374	6.71
9_15_2015	77	9	15	2015	66.1	79.6	52.3	0	0	8	2.3	389	6.71
9_16_2015	78	9	16	2015	68.5	83	56.5	0	0	13	1.1	392	6.71
9_17_2015	79	9	17	2015	68	83.9	56.9	0	7	14	1.1	347	6.71
9_18_2015	80	9	18	2015	69.2	83	56	0	1	8	2.7	356	6.71
9_19_2015	81	9	19	2015	68	74.9	58.9	0.64	5	7	5.5	122	7.35
9_20_2015	82	9	20	2015	57	65.9	46.9	0	5	11	4	345	7.35
9_21_2015	83	9	21	2015	55	65.9	42.9	0.01	9	9	2.4	335	7.36
9_22_2015	84	9	22	2015	59.6	72	50.7	0	0	9	2.2	272	7.36
9_23_2015	85	9	23	2015	59.4	74.6	45.9	0	3	13	1.8	362	7.36
9_24_2015	86	9	24	2015	61.6	75	49.9	0	3	12	1.9	332	7.36
9_25_2015	87	9	25	2015	60.5	75.1	49.9	0	3	10	2	294	7.36
9_26_2015	88	9	26	2015	59.3	71.9	48.9	0	0	12	1.6	297	7.36
9_27_2015	89	9	27	2015	62.6	74	52.9	0	0	6	7	311	7.36
9_28_2015	90	9	28	2015	64.2	69	58.3	0.04	8	17	4.6	134	7.4
9_29_2015	91	9	29	2015	65.9	70.6	60.9	1.38	17	24	3.8	73	8.78
9_30_2015	92	9	30	2015	53.2	59.6	50	0.94	16	22	8.1	36	9.72
7_1_2016	1	7	1	2016	66.7	78.6	54.7	0	3	1	6	256	0
7_2_2016	2	7	2	2016	65.7	74.3	54.9	0	0	0	7.4	350	0
7_3_2016	3	7	3	2016	69.2	78.3	58.2	0	0	0	4.6	355	0
7_4_2016	4	7	4	2016	71.6	83.7	53	0	0	0	4.9	406	0
7_5_2016	5	7	5	2016	75.1	85.5	63.9	0	0	6	3.1	312	0
7_6_2016	6	7	6	2016	78	90.2	65.6	0	0	2	2.8	355	0
7_7_2016	7	7	7	2016	77.3	87.5	69.9	0	3	2	3.7	250	0
7_8_2016	8	7	8	2016	73.6	83.4	65	0	6	8	2.7	201	0
7_9_2016	9	7	9	2016	72.8	80.4	65.9	0	9	6	5.3	270	0
7_10_2016	10	7	10	2016	65.6	75.9	57.9	0.02	11	14	6.3	259	0.02
7_11_2016	11	7	11	2016	66.7	79.3	53.9	0	4	8	2.6	346	0.02
7_12_2016	12	7	12	2016	73.7	90	58	0	0	6	3.2	296	0.02
7_13_2016	13	7	13	2016	80.2	92.4	71.6	0	0	1	5.8	360	0.02
7_14_2016	14	7	14	2016	78.2	85.4	71	0	0	6	6.7	300	0.02
7_15_2016	15	7	15	2016	76	83.9	67.1	0	0	0	5.6	328	0.02
7_16_2016	16	7	16	2016	67.8	78.5	58.5	0	1	3	3.7	283	0.02
7_17_2016	17	7	17	2016	70.5	83.5	56.1	0	8	7	2.3	330	0.02
7_18_2016	18	7	18	2016	73.6	78.7	63.9	0.41	9	3	5.4	210	0.43
7_19_2016	19	7	19	2016	67	75.3	57.9	0	0	0	5.3	331	0.43
7_20_2016	20	7	20	2016	68.1	80.5	57	0	0	1	4.3	375	0.43
7_21_2016	21	7	21	2016	74.1	89.4	53.9	0	0	4	2.9	364	0.43
7_22_2016	22	7	22	2016	80.9	87.5	75.4	0	0	0	6.9	319	0.43
7_23_2016	23	7	23	2016	78.1	86.3	70	0	0	0	6.2	354	0.43
7_24_2016	24	7	24	2016	73.5	84.9	61	0	0	7	2	270	0.43
7_25_2016	25	7	25	2016	72.7	80.8	66.6	0.56	6	10	3.2	141	0.99
7_26_2016	26	7	26	2016	72.7	83.6	65.1	0	0	7	4.3	356	0.99
7_27_2016	27	7	27	2016	75.3	86.9	60	0	0	4	2.7	356	0.99
7_28_2016	28	7	28	2016	74.3	84.9	64	0	0	4	2.1	241	0.99
7_29_2016	29	7	29	2016	73.1	82.9	62.9	0	0	7	4.1	334	0.99
7_30_2016	30	7	30	2016	67.8	74	59.9	0.02	3	3	2.2	173	1.01
7_31_2016	31	7	31	2016	70.3	76.2	63	0	2	11	3.1	168	1.01
8_1_2016	32	8	1	2016	71.5	81.3	62.9	0	7	11	3.1	244	1.01
8_2_2016	33	8	2	2016	72.5	83.5	64.1	0	7	11	3.2	303	1.01
8_3_2016	34	8	3	2016	73.5	82.2	64	0	0	7	6.4	324	1.01
8_4_2016	35	8	4	2016	77	88	64	0	0	5	4.8	345	1.01
8_5_2016	36	8	5	2016	79.2	88.2	69	0	0	0	6.6	262	1.01
8_6_2016	37	8	6	2016	74.3	81.1	64.9	0.05	6	4	5.3	310	1.06
